,Unnamed: 0,iata_code,name,coordinates,iso_region,average_wait,max_wait,min_wait,obs_count
0,435,OCA,Ocean Reef Club Airport,"-80.274803161621, 25.325399398804",US-FL,na,na,na,na
1,587,PQS,Pilot Station Airport,"-162.899994, 61.934601",US-AK,na,na,na,na
2,666,CSE,Buckhorn Ranch Airport,"-106.93282, 38.8518981934",US-CO,na,na,na,na
3,1080,JCY,LBJ Ranch Airport,"-98.62249755859999, 30.251800537100003",US-TX,na,na,na,na
4,1388,PMX,Metropolitan Airport,"-72.31140136719999, 42.223300933800004",US-MA,na,na,na,na
5,1424,WLR,Loring Seaplane Base,"-131.636993408, 55.6012992859",US-AK,na,na,na,na
6,1540,NUP,Nunapitchuk Airport,"-162.440454, 60.905591",US-AK,na,na,na,na
7,1559,PTC,Port Alice Seaplane Base,"-133.597, 55.803",US-AK,na,na,na,na
8,1704,ICY,Icy Bay Airport,"-141.662002563, 59.96900177",US-AK,na,na,na,na
9,1740,PPV,Port Protection Seaplane Base,"-133.61000061035, 56.328800201416",US-AK,na,na,na,na
10,1966,KKK,Kalakaket Creek AS Airport,"-156.820392609, 64.4166256967",US-AK,na,na,na,na
11,2150,MHS,Dunsmuir Muni-Mott Airport,"-122.272003, 41.263199",US-CA,na,na,na,na
12,2364,ELW,Ellamar Seaplane Base,"-146.704038, 60.893818",US-AK,na,na,na,na
13,2945,LVD,Lime Village Airport,"-155.440002441, 61.3591003418",US-AK,na,na,na,na
14,2949,FIV,Five Finger CG Heliport,"-133.630996704, 57.26990127559999",US-AK,na,na,na,na
15,2952,HGZ,Hog River Airport,"-155.6690063, 66.2161026",US-AK,na,na,na,na
16,3120,OTN,Ed-Air Airport,"-87.4997024536, 38.851398468",US-IN,na,na,na,na
17,3172,TLF,Telida Airport,"-153.26899719238, 63.393901824951",US-AK,na,na,na,na
18,3484,BZT,Eagle Air Park,"-95.579696655273, 28.982200622559",US-TX,na,na,na,na
19,3619,HBH,Entrance Island Seaplane Base,"-133.43848, 57.412201",US-AK,na,na,na,na
20,3623,FAK,False Island Seaplane Base,"-135.212997437, 57.5321998596",US-AK,na,na,na,na
21,4065,BYW,Blakely Island Airport,"-122.825996399, 48.578998565700005",US-WA,na,na,na,na
22,4125,DRF,Drift River Airport,"-152.162002563, 60.588901519800004",US-AK,na,na,na,na
23,4302,BDF,Rinkenberger Restricted Landing Area,"-89.61569976810001, 41.230899810800004",US-IL,na,na,na,na
24,4644,VRS,Roy Otten Memorial Airfield,"-92.875198364258, 38.427799224854",US-MO,na,na,na,na
