,iata_code,name,coordinates,iso_region
435,OCA,Ocean Reef Club Airport,"-80.274803161621, 25.325399398804",US-FL
587,PQS,Pilot Station Airport,"-162.899994, 61.934601",US-AK
666,CSE,Buckhorn Ranch Airport,"-106.93282, 38.8518981934",US-CO
1080,JCY,LBJ Ranch Airport,"-98.62249755859999, 30.251800537100003",US-TX
1388,PMX,Metropolitan Airport,"-72.31140136719999, 42.223300933800004",US-MA
1424,WLR,Loring Seaplane Base,"-131.636993408, 55.6012992859",US-AK
1540,NUP,Nunapitchuk Airport,"-162.440454, 60.905591",US-AK
1559,PTC,Port Alice Seaplane Base,"-133.597, 55.803",US-AK
1704,ICY,Icy Bay Airport,"-141.662002563, 59.96900177",US-AK
1740,PPV,Port Protection Seaplane Base,"-133.61000061035, 56.328800201416",US-AK
1966,KKK,Kalakaket Creek AS Airport,"-156.820392609, 64.4166256967",US-AK
2150,MHS,Dunsmuir Muni-Mott Airport,"-122.272003, 41.263199",US-CA
2364,ELW,Ellamar Seaplane Base,"-146.704038, 60.893818",US-AK
2945,LVD,Lime Village Airport,"-155.440002441, 61.3591003418",US-AK
2949,FIV,Five Finger CG Heliport,"-133.630996704, 57.26990127559999",US-AK
2952,HGZ,Hog River Airport,"-155.6690063, 66.2161026",US-AK
3120,OTN,Ed-Air Airport,"-87.4997024536, 38.851398468",US-IN
3172,TLF,Telida Airport,"-153.26899719238, 63.393901824951",US-AK
3484,BZT,Eagle Air Park,"-95.579696655273, 28.982200622559",US-TX
3619,HBH,Entrance Island Seaplane Base,"-133.43848, 57.412201",US-AK
3623,FAK,False Island Seaplane Base,"-135.212997437, 57.5321998596",US-AK
4065,BYW,Blakely Island Airport,"-122.825996399, 48.578998565700005",US-WA
4125,DRF,Drift River Airport,"-152.162002563, 60.588901519800004",US-AK
4302,BDF,Rinkenberger Restricted Landing Area,"-89.61569976810001, 41.230899810800004",US-IL
4644,VRS,Roy Otten Memorial Airfield,"-92.875198364258, 38.427799224854",US-MO
4702,GDH,Golden Horn Lodge Seaplane Base,"-158.875, 59.7470016479",US-AK
5163,ATT,Atmautluak Airport,"-162.272995, 60.866699",US-AK
5166,LIV,Livengood Camp Airport,"-148.6534, 65.467",US-AK
5335,PDB,Pedro Bay Airport,"-154.12399292, 59.7896003723",US-AK
5336,KOZ,Ouzinkie Airport,"-152.496715, 57.925362",US-AK
5337,TNK,Tununak Airport,"-165.27200317383, 60.575500488281",US-AK
5591,EVA,Ben Bruce Memorial Airpark,"-94.07350158690001, 30.3209991455",US-TX
5693,WHD,Hyder Seaplane Base,"-130.009975, 55.903324",US-AK
6013,TKI,Tokeen Seaplane Base,"-133.32699585, 55.9370994568",US-AK
6146,WKK,Aleknagik / New Airport,"-158.617996216, 59.2826004028",US-AK
6339,WFB,Ketchikan Harbor Seaplane Base,"-131.677002, 55.349899",US-AK
6478,NNK,Naknek Airport,"-157.02000427246, 58.732898712158",US-AK
6684,BKF,Lake Brooks Seaplane Base,"-155.77699279785, 58.554798126221",US-AK
6928,FOP,Fort Gillem Heliport,"-84.34639739990001, 33.6150016785",US-GA
6934,BCS,Southern Seaplane Airport,"-90.0222015381, 29.8661003113",US-LA
7170,SPQ,Catalina Air-Sea Terminal Heliport,"-118.275001526, 33.7491989136",US-CA
7376,TSS,East 34th Street Heliport,"-73.97209930419922, 40.74259948730469",US-NY
7378,QNY,New York Skyports Inc Seaplane Base,"-73.9729, 40.734001",US-NY
7457,BWL,Earl Henry Airport,"-97.3170013428, 36.7958984375",US-OK
7985,WYB,Yes Bay Lodge Seaplane Base,"-131.800994873, 55.9163017273",US-AK
8011,CWS,Center Island Airport,"-122.832000732, 48.4901008606",US-WA
8208,TEK,Tatitlek Airport,"-146.690297, 60.871449",US-AK
8307,DUF,Pine Island Airport,"-75.7884979248, 36.2535018921",US-NC
